rank,hand,category,description
1,AKQJT,SF,Royal Flush
2,KQJT9,SF,King-High Straight Flush
3,QJT98,SF,Queen-High Straight Flush
4,JT987,SF,Jack-High Straight Flush
5,T9876,SF,Ten-High Straight Flush
6,98765,SF,Nine-High Straight Flush
7,87654,SF,Eight-High Straight Flush
8,76543,SF,Seven-High Straight Flush
9,65432,SF,Six-High Straight Flush
10,5432A,SF,Five-High Straight Flush
11,AAAAK,4K,Four Aces
12,AAAAQ,4K,Four Aces
13,AAAAJ,4K,Four Aces
14,AAAAT,4K,Four Aces
15,AAAA9,4K,Four Aces
16,AAAA8,4K,Four Aces
17,AAAA7,4K,Four Aces
18,AAAA6,4K,Four Aces
19,AAAA5,4K,Four Aces
20,AAAA4,4K,Four Aces
21,AAAA3,4K,Four Aces
22,AAAA2,4K,Four Aces
23,KKKKA,4K,Four Kings
24,KKKKQ,4K,Four Kings
25,KKKKJ,4K,Four Kings
26,KKKKT,4K,Four Kings
27,KKKK9,4K,Four Kings
28,KKKK8,4K,Four Kings
29,KKKK7,4K,Four Kings
30,KKKK6,4K,Four Kings
31,KKKK5,4K,Four Kings
32,KKKK4,4K,Four Kings
33,KKKK3,4K,Four Kings
34,KKKK2,4K,Four Kings
35,QQQQA,4K,Four Queens
36,QQQQK,4K,Four Queens
37,QQQQJ,4K,Four Queens
38,QQQQT,4K,Four Queens
39,QQQQ9,4K,Four Queens
40,QQQQ8,4K,Four Queens
41,QQQQ7,4K,Four Queens
42,QQQQ6,4K,Four Queens
43,QQQQ5,4K,Four Queens
44,QQQQ4,4K,Four Queens
45,QQQQ3,4K,Four Queens
46,QQQQ2,4K,Four Queens
47,JJJJA,4K,Four Jacks
48,JJJJK,4K,Four Jacks
49,JJJJQ,4K,Four Jacks
50,JJJJT,4K,Four Jacks
51,JJJJ9,4K,Four Jacks
52,JJJJ8,4K,Four Jacks
53,JJJJ7,4K,Four Jacks
54,JJJJ6,4K,Four Jacks
55,JJJJ5,4K,Four Jacks
56,JJJJ4,4K,Four Jacks
57,JJJJ3,4K,Four Jacks
58,JJJJ2,4K,Four Jacks
59,TTTTA,4K,Four Tens
60,TTTTK,4K,Four Tens
61,TTTTQ,4K,Four Tens
62,TTTTJ,4K,Four Tens
63,TTTT9,4K,Four Tens
64,TTTT8,4K,Four Tens
65,TTTT7,4K,Four Tens
66,TTTT6,4K,Four Tens
67,TTTT5,4K,Four Tens
68,TTTT4,4K,Four Tens
69,TTTT3,4K,Four Tens
70,TTTT2,4K,Four Tens
71,9999A,4K,Four Nines
72,9999K,4K,Four Nines
73,9999Q,4K,Four Nines
74,9999J,4K,Four Nines
75,9999T,4K,Four Nines
76,99998,4K,Four Nines
77,99997,4K,Four Nines
78,99996,4K,Four Nines
79,99995,4K,Four Nines
80,99994,4K,Four Nines
81,99993,4K,Four Nines
82,99992,4K,Four Nines
83,8888A,4K,Four Eights
84,8888K,4K,Four Eights
85,8888Q,4K,Four Eights
86,8888J,4K,Four Eights
87,8888T,4K,Four Eights
88,88889,4K,Four Eights
89,88887,4K,Four Eights
90,88886,4K,Four Eights
91,88885,4K,Four Eights
92,88884,4K,Four Eights
93,88883,4K,Four Eights
94,88882,4K,Four Eights
95,7777A,4K,Four Sevens
96,7777K,4K,Four Sevens
97,7777Q,4K,Four Sevens
98,7777J,4K,Four Sevens
99,7777T,4K,Four Sevens
100,77779,4K,Four Sevens
101,77778,4K,Four Sevens
102,77776,4K,Four Sevens
103,77775,4K,Four Sevens
104,77774,4K,Four Sevens
105,77773,4K,Four Sevens
106,77772,4K,Four Sevens
107,6666A,4K,Four Sixes
108,6666K,4K,Four Sixes
109,6666Q,4K,Four Sixes
110,6666J,4K,Four Sixes
111,6666T,4K,Four Sixes
112,66669,4K,Four Sixes
113,66668,4K,Four Sixes
114,66667,4K,Four Sixes
115,66665,4K,Four Sixes
116,66664,4K,Four Sixes
117,66663,4K,Four Sixes
118,66662,4K,Four Sixes
119,5555A,4K,Four Fives
120,5555K,4K,Four Fives
121,5555Q,4K,Four Fives
122,5555J,4K,Four Fives
123,5555T,4K,Four Fives
124,55559,4K,Four Fives
125,55558,4K,Four Fives
126,55557,4K,Four Fives
127,55556,4K,Four Fives
128,55554,4K,Four Fives
129,55553,4K,Four Fives
130,55552,4K,Four Fives
131,4444A,4K,Four Fours
132,4444K,4K,Four Fours
133,4444Q,4K,Four Fours
134,4444J,4K,Four Fours
135,4444T,4K,Four Fours
136,44449,4K,Four Fours
137,44448,4K,Four Fours
138,44447,4K,Four Fours
139,44446,4K,Four Fours
140,44445,4K,Four Fours
141,44443,4K,Four Fours
142,44442,4K,Four Fours
143,3333A,4K,Four Treys
144,3333K,4K,Four Treys
145,3333Q,4K,Four Treys
146,3333J,4K,Four Treys
